enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,training_duration_seconds,peak_ram_mb,summary_freq,os,gpu_available,gpu,gpu_memory_gb,final_mean_reward
Walker,ppo,0.000484943042512,2048,768,3,2566747,2566612,63.7791481018066,28,64,8192,0.001713272965452,0.100475823464918,0.909579431844865,3.0,951.161345599998,1176.79296875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,28.365747278397
Walker,ppo,0.0005989066008839,128,503,3,2470521,2470432,63.7791481018066,28,128,4096,0.0032251649460985,0.216719003506259,0.927908087498962,8.0,2088.7818754,1137.08984375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.436612443685226
Walker,ppo,0.0007196982665293,64,307,1,2201771,2201762,63.7791481018066,28,64,2048,0.0079204718310057,0.201719250095733,0.941249826922787,6.0,1677.9441207,1103.203125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,6.59678625604543
Walker,ppo,0.0008795894697497,2048,717,5,2656076,2656063,63.7791481018066,28,512,8192,0.0035225889030085,0.296111868612979,0.961798523761472,3.0,1116.8569184,1187.37890625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,19.0431335336573
Walker,ppo,0.0001561378541475,256,801,3,3805822,3805747,63.7791481018066,28,512,4096,0.0035711626160789,0.138725322420437,0.900756280850874,3.0,1587.0609233,1160.96484375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,35.9680139283389
GridWorld,ppo,0.0006744621544223,256,325,4,3361178,3361133,63.7791481018066,28,64,4096,0.0077581175849701,0.106741148280802,0.97281530545684,7.0,4901.1890177,2798.46875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.99999988079071
GridWorld,ppo,0.0002002500302804,512,927,5,2573466,2573466,63.7791481018066,28,64,2048,0.0016012022994322,0.145015121873823,0.911989467320141,6.0,7133.6337102,31299.59765625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.262130148488389
GridWorld,ppo,0.0006744621544223,256,325,4,3361354,3361133,63.7791481018066,28,64,4096,0.0077581175849701,0.106741148280802,0.97281530545684,7.0,4902.2679367,2775.89453125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.843303470207112
Pyramids,ppo,0.0002223901341867,2048,814,4,3733331,3733265,63.7791481018066,28,256,10240,0.0023697290654965,0.28693651587904,0.989638935316514,3.0,1635.9998997,1559.9609375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.0045167257388432
Pyramids,ppo,0.0001338947518949,2048,646,2,3847869,3847661,63.7791481018066,28,64,4096,0.0099668659768931,0.103299836007785,0.924253312642327,8.0,2527.9569339,1361.2109375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.486885694520814
Pyramids,ppo,0.0002571006424161,64,361,2,2628676,2590695,63.7791481018066,28,1024,4096,0.0068546886370455,0.22606982908454,0.923478594624386,9.0,5310.4279955,2049.32421875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
Pyramids,ppo,0.000563259156805,1024,119,2,2317711,2317681,63.7791481018066,28,64,4096,0.0010776951782781,0.187542188737938,0.949810666744091,8.0,1702.7135574,1343.46875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.489514326676726
Pyramids,ppo,0.0009841947691683,128,462,2,2391223,2391147,63.7791481018066,28,64,10240,0.0080713195080664,0.127537921457505,0.954959397812183,7.0,2820.4419289,1375.73828125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.999550045467913
Pyramids,ppo,0.0009656105675958,256,713,1,3309195,3309085,63.7791481018066,28,128,10240,0.006153690536922,0.165753597704373,0.982606453554576,4.0,2296.7617534,1435.55078125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.999400049448013
Pyramids,ppo,0.0001519983541354,512,88,5,3074491,3074364,63.7791481018066,28,128,4096,0.0064583483378635,0.276770781932153,0.907781357491042,10.0,2942.9427159,1403.94921875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.763000046461821
Pyramids,ppo,0.0004538721410161,256,912,5,2591996,2591886,63.7791481018066,28,256,8192,0.0022988110304305,0.118325571902561,0.933903923879387,6.0,1993.4934672,1581.80078125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.34399998188019
